year,title,venue,keyword,notes
2017,How Good Are Your Types? Using Mutation Analysis to Evaluate the Effectiveness of Type Annotations,ICSTW 2017,type annotations
2018,Static value analysis of python programs by abstract interpretation,Lecture Notes in Computer Science,Python static analysis / abstract interpretation
2018,DLInfer: Deep Learning with Static Slicing for Python Type Inference,Proceedings - International Conference on Software Engineering,Python type inference
2018,Model-based verification and testing methodology for safety-critical airborne systems,Communications in Computer and Information Science,airborne verification
2019,Sim: A Contract-Based Programming Language for Safety-Critical Software,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,contracts / safety-critical software
2019,Towards rust for critical systems,ISSREW 2019,safety-critical programming languages
2020,An empirical study on dynamic typing related practices in python systems,IEEE International Conference on Program Comprehension,Python dynamic typing practices
2020,Optimizing and evaluating transient gradual typing,DLS 2019 - Proceedings of the 15th ACM SIGPLAN International Symposium on Dynamic Languages,gradual typing / performance
2020,Model checking python programs with MSVL,Lecture Notes in Computer Science,Python model checking
2020,Taming type annotations in gradual typing,Proceedings of the ACM on Programming Languages,gradual typing
2021,Static Type Inference for Foreign Functions of Python,Proceedings - International Symposium on Software Reliability Engineering, ISSRE,Python type inference
2021,Verification support for ARINC-653-based avionics software,Software Testing Verification and Reliability,avionics verification
2021,Towards a continuous certification of safety-critical avionics software,Computers in Industry,certification / avionics
2021,DO-330/ED-215 overlay to the IEEE recommended practice for Distributed Simulation Engineering and Execution Process,Journal of Aerospace Information Systems,tool qualification
2022,The evolution of type annotations in python: an empirical study,ESEC/FSE 2022,Python type annotations
2023,Generative Type Inference for Python,Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023,Python type inference
2023,Concerns with using Python in Machine Learning Flight Critical Applications,FORUM 2023 - Vertical Flight Society 79th Annual Forum and Technology Display,Python / flight-critical applications
2023,Formal Verification of Autonomous Vehicles: Bridging the Gap between Model-Based Design and Model Checking,SAE International Journal of Advances and Current Practices in Mobility,model checking / safety-critical systems
2024,PyTy: Repairing Static Type Errors in Python,Proceedings - International Conference on Software Engineering,Python type-error repair
2024,Static Blame for gradual typing,Journal of Functional Programming,gradual typing
2024,Typify: A Lightweight Usage-driven Static Analyzer for Precise Python Type Inference,Proceedings - 2026 IEEE/ACM 34th International Conference on Program Comprehension, ICPC 2026,Python type inference
2024,Towards Effective Static Type-Error Detection for Python,Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024,Python type-error detection
2024,Generating Python Type Annotations from Type Inference: How Far Are We?,ACM Transactions on Software Engineering and Methodology,Python type annotations
2024,ESBMC-Python: A Bounded Model Checker for Python Programs,ISSTA 2024 - Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,Python bounded model checking
2024,Pyinder: Towards Effective Static Type-Error Detection for Python,Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering, ASE 2024,Python static analysis
2024,A Comprehensive Overview of Formal Methods and Deep Learning for Verification and Optimization,2024 International Conference on Decision Aid Sciences and Applications, DASA 2024,formal methods
2025,PoTo: A Hybrid Andersen’s Points-To Analysis for Python,LIPIcs,Python static analysis / points-to analysis
2025,Scrum4DO178C: An Agile Process to Enhance Aerospace Software Development for DO-178C Compliance—A Case Study at Criticality Level A,IEEE Access,DO-178C compliance
2025,A Proposal for an Adapted Scrum for Aeronautical Software Development,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,DO-178C / aerospace process
2025,Weaving Agility in Safety-Critical Software Development for Aerospace: From Concerns to Opportunities,IEEE Access,agile / safety-critical aerospace
2026,Assessing Python’s suitability for airborne safety-critical systems under DO-178C guidelines,Journal of Computer Languages,Python / airborne safety-critical systems
2026,How do third-party Python libraries use type annotations?,Proceedings - 2026 IEEE/ACM 23rd International Conference on Mining Software Repositories, MSR 2026,Python type annotations
2026,Formal verification for I²C communication Protocol in aerospace and aviation industries,article,formal verification / aerospace
2026,Finding software vulnerabilities in large C projects via bounded model checking,International Journal on Software Tools for Technology Transfer,bounded model checking
2002,Ravenscar-Java: A high integrity profile for real-time Java,,high-integrity Java profile,A restricted Java profile for high-integrity real-time systems [:reference:]abstract@161@0@2-s2.0-0242443902@@false[:/reference:]
2007,Garbage collection for safety critical Java,Proceedings of the 5th International Workshop on Java Technologies for Real-Time and Embedded Systems, JTRES 2007,GC / SCJ memory,Proposes a real-time garbage collector for the safety-critical Java subset [:reference:]abstract@162@1@2-s2.0-38849092499@@false[:/reference:]
2009,A technology compatibility kit for safety critical Java,ACM International Conference Proceeding Series,conformance / certification,Designs an open-source compatibility kit to test SCJ implementations [:reference:]abstract@163@2@2-s2.0-70350655655@@false[:/reference:]
2009,Use of PERC pico in the AIDA avionics platform,ACM International Conference Proceeding Series,avionics case study,Reports SCJ-related avionics use in the AIDA platform and discusses memory-model issues [:reference:]abstract@164@3@2-s2.0-70350676396@@false[:/reference:]
2010,Developing Safety Critical Java applications with oSCJ/L0,ACM International Conference Proceeding Series,implementation / performance,Describes an SCJ Level 0 implementation and evaluates predictability/performance [:reference:]abstract@165@4@2-s2.0-77957946457@@false[:/reference:]
2010,Static checking of Safety Critical Java annotations,ACM International Conference Proceeding Series,static analysis,Checks SCJ annotations statically with a prototype implementation [:reference:]abstract@166@5@2-s2.0-77957943860@@false[:/reference:]
2010,The design of SafeJML, a specification language for SCJ with support for WCET specification,ACM International Conference Proceeding Series,specification / WCET,Extends JML for functional and timing constraints in SCJ [:reference:]abstract@167@6@2-s2.0-77957951601@@false[:/reference:]
2011,Memory management for safety-critical Java,ACM International Conference Proceeding Series,memory management,Explores scoped memory implementation and certification-oriented simplifications [:reference:]abstract@168@7@2-s2.0-80755167809@@false[:/reference:]
2011,The safety-critical java memory model: A formal account,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal memory model,First formalization of SCJ memory regions [:reference:]abstract@169@8@2-s2.0-79959968058@@false[:/reference:]
2011,The safety-critical java mission model: A formal account,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal mission model,First formalization of the SCJ execution model for missions and event handlers [:reference:]abstract@170@9@2-s2.0-80455162653@@false[:/reference:]
2011,Resource sharing in RTSJ and SCJ systems,ACM International Conference Proceeding Series,resource sharing,Analyzes multiprocessor resource allocation and deadlock prevention [:reference:]abstract@171@10@2-s2.0-80755167817@@false[:/reference:]
2011,Safety-critical Java in circus,ACM International Conference Proceeding Series,formal refinement,Introduces a refinement technique for SCJ programs [:reference:]abstract@172@11@2-s2.0-80755167814@@false[:/reference:]
2012,Asynchronous event handling and Safety Critical Java,Concurrency and Computation: Practice and Experience,concurrency / API design,Reviews SCJ’s event-based concurrency model and its tradeoffs [:reference:]abstract@173@12@2-s2.0-84861182669@@false[:/reference:]
2012,Hardware support for safety-critical Java scope checks,Proceedings - 2012 15th IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2012,scope checking / hardware,Shows simple hardware extensions can improve scoped-memory checks [:reference:]abstract@174@13@2-s2.0-84863976343@@false[:/reference:]
2012,An evaluation of safety-critical Java on a Java processor,Proceedings - IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2014,implementation evaluation,Benchmarks an SCJ implementation on JOP using timing and memory criteria [:reference:]abstract@175@14@2-s2.0-84941270238@@false[:/reference:]
2012,Safety-critical java: The mission approach,Distributed, Embedded and Real-time Java Systems,mission-based programming,Explains missions as reusable active components for certification artifacts [:reference:]abstract@176@15@2-s2.0-84949175445@@false[:/reference:]
2012,Safety-critical java on a java processor,ACM International Conference Proceeding Series,prototype implementation,Reports a prototype SCJ implementation on a Java processor and issues for the expert group [:reference:]abstract@177@16@2-s2.0-84870276383@@false[:/reference:]
2012,Worst-case memory consumption analysis for SCJ,ACM International Conference Proceeding Series,memory analysis,Provides a tool for static worst-case memory bounds in SCJ [:reference:]abstract@178@17@2-s2.0-84887351231@@false[:/reference:]
2013,Circus models for safety-critical java programs,Computer Journal,formal modeling,Formalizes SCJ Level 1 execution and automates model generation [:reference:]abstract@179@18@2-s2.0-84903192450@@false[:/reference:]
2013,Refining SCJ mission specifications into parallel handler designs,Electronic Proceedings in Theoretical Computer Science, EPTCS,refinement / design,Develops laws for refining SCJ mission specifications into parallel handlers [:reference:]abstract@180@19@2-s2.0-84991209282@@false[:/reference:]
2013,Refinement strategies for safety-critical java,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),refinement / code generation,Derives SCJ designs from cyclic executive patterns [:reference:]abstract@181@20@2-s2.0-84958039202@@false[:/reference:]
2013,Design of safety-critical java level 1 applications using affine abstract clocks,Proceedings of the 16th International Workshop on Software and Compilers for Embedded Systems, M-SCOPES 2013,schedulability / design,"Uses dataflow design to avoid races, deadlocks, and priority inversion [:reference:]abstract@182@21@2-s2.0-84893430019@@false[:/reference:]"
2013,Safety-critical Java programs from Circus models,Real-Time Systems,formal verification,Derives SCJ programs from Circus models and applies to an aircraft collision detector [:reference:]abstract@183@22@2-s2.0-84880359062@@false[:/reference:]
2013,The safety-critical java memory model formalised,Formal Aspects of Computing,formal memory model,Formalizes SCJ memory regions and supports refinement reasoning [:reference:]abstract@184@23@2-s2.0-84872295397@@false[:/reference:]
2013,The safety-critical java mission model: A formal account,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal mission model,Formalizes missions and event handlers as a first step toward refinement reasoning [:reference:]abstract@170@24@2-s2.0-80455162653@@false[:/reference:]
2013,A hypervisor based platform to support real-time safety critical embedded Java applications,Computer Systems Science and Engineering,platform / implementation,Describes a platform for real-time safety-critical embedded Java with performance analysis [:reference:]abstract@185@25@2-s2.0-84881432830@@false[:/reference:]
2013,Compiling and verifying SC-SystemJ programs for safety-critical reactive systems,,verification / compiler,Introduces a safety-critical subset of SystemJ with verification and code generation [:reference:]full_text@186@26@S147784241530004X@S147784241530004X-chunk-1@false[:/reference:]
2014,SCJ: Memory-safety checking without annotations,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),memory safety analysis,Uses inference rules and an abstract language to check memory safety without annotations [:reference:]abstract@187@27@2-s2.0-84958549089@@false[:/reference:]
2014,An evaluation of safety-critical Java on a Java processor,Proceedings - IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2014,implementation evaluation,"Measures periods, allocation, event handling, latency, and synchronization [:reference:]abstract@175@28@2-s2.0-84941270238@@false[:/reference:]"
2014,Circus models for safety-critical java programs,Computer Journal,formal modeling,Automates generation of formal models for SCJ Level 1 [:reference:]abstract@179@29@2-s2.0-84903192450@@false[:/reference:]
2015,Laws of mission-based programming,Formal Aspects of Computing,formal refinement,Presents laws and patterns for refining SCJ mission specifications [:reference:]abstract@188@30@2-s2.0-84925490085@@false[:/reference:]
2015,Compiling and verifying SC-SystemJ programs for safety-critical reactive systems,,verification / compiler,Reports a tool-chain for verifying liveness and safety and generating executables [:reference:]full_text@186@31@S147784241530004X@S147784241530004X-chunk-1@false[:/reference:]
2016,SCJ-Circus: A refinement-oriented formal notation for Safety-Critical Java,Electronic Proceedings in Theoretical Computer Science, EPTCS,formal notation,Defines a refinement-oriented notation and semantics for SCJ [:reference:]abstract@189@32@2-s2.0-84991670878@@false[:/reference:]
2016,SCJ-Circus: Specification and refinement of Safety-Critical Java programs,Science of Computer Programming,formal refinement,Extends refinement strategy from Circus designs to SCJ program designs [:reference:]abstract@190@33@2-s2.0-85060444150@@false[:/reference:]
2016,Modelling and verifying a priority scheduler for an SCJ runtime environment,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),scheduler verification,Verifies the scheduler of the icecap HVM SCJ virtual machine [:reference:]abstract@191@34@2-s2.0-84977483268@@false[:/reference:]
2016,A formal model of the Safety-Critical Java level 2 Paradigm,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal semantics,Provides the first formal semantics of SCJ Level 2 [:reference:]abstract@192@35@2-s2.0-84977514970@@false[:/reference:]
2016,Refinement strategies for safety-critical java,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),refinement / code generation,Extends refinement strategy to more complex SCJ patterns [:reference:]abstract@181@36@2-s2.0-84958039202@@false[:/reference:]
2016,SCJ-Circus: Specification and refinement of Safety-Critical Java programs,Science of Computer Programming,formal refinement,Supports specification and verification of low-level SCJ models [:reference:]abstract@190@37@2-s2.0-85060444150@@false[:/reference:]
2017,Java in the safety-critical domain,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),tutorial / verification,Presents SCJ and a verification technique based on refinement [:reference:]abstract@112@38@2-s2.0-85018423488@@false[:/reference:]
2017,Safety-Critical Java: level 2 in practice,Concurrency and Computation: Practice and Experience,SCJ Level 2 / API limitations,Identifies Level 2 requirements and needed specification changes [:reference:]abstract@193@39@2-s2.0-84987859189@@false[:/reference:]
2017,Safety-critical Java for embedded systems,Concurrency and Computation: Practice and Experience,engineering summary,"Summarizes prototype implementations, processor work, and memory-safety tools [:reference:]abstract@194@40@2-s2.0-85010611289@@false[:/reference:]"
2017,Algebraic compilation of safety-critical Java bytecode,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),bytecode verification / compiler,Gives a formal bytecode interpreter and compilation strategy toward verified SCJVMs [:reference:]abstract@195@41@2-s2.0-85030173655@@false[:/reference:]
2019,SCJ-Circus: Specification and refinement of Safety-Critical Java programs,Science of Computer Programming,formal verification,"Emphasizes certification-oriented architecture, concurrency, and memory models [:reference:]abstract@190@42@2-s2.0-85060444150@@false[:/reference:]"
2024,SMUP: A technique to improve MC/DC using specified patterns,,certification / SCJ context,Mentions SCJ as a Level A certification-oriented Java standard [:reference:]full_text@196@43@S0045790624006335@S0045790624006335-chunk-3@false[:/reference:]
1995,Short encodings of planar graphs and maps,Discrete Applied Mathematics,static analysis / formal methods,[:reference:]abstract@64@0@2-s2.0-0000962826@@false[:/reference:]
1999,Linear-time succinct encodings of planar graphs via canonical orderings,SIAM Journal on Discrete Mathematics,static analysis / formal methods,[:reference:]abstract@65@1@2-s2.0-0001740837@@false[:/reference:]
2001,Intrusion detection via static analysis,Proceedings of the IEEE Computer Society Symposium on Research in Security and Privacy,static analysis,[:reference:]abstract@66@2@2-s2.0-0034836394@@false[:/reference:]
2001,An empirical study of operating systems errors,Operating Systems Review (ACM),static analysis,[:reference:]abstract@67@3@2-s2.0-0036041421@@false[:/reference:]
2003,Precise analysis of string expressions,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),static analysis,[:reference:]abstract@68@4@2-s2.0-35248891044@@false[:/reference:]
2004,Emand-Driven type inference with subgoal pruning: Trading precision for scalability,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),type inference,[:reference:]abstract@42@5@2-s2.0-35048898438@@false[:/reference:]
2005,CCured: Type-safe retrofitting of legacy software,ACM Transactions on Programming Languages and Systems,type checking / type inference,[:reference:]abstract@62@6@2-s2.0-33646032658@@false[:/reference:]
2006,On the value of static analysis for fault detection in software,IEEE Transactions on Software Engineering,static analysis,[:reference:]abstract@48@7@2-s2.0-33646501895@@false[:/reference:]
2008,Using static analysis to find bugs,IEEE Software,static analysis,[:reference:]abstract@47@8@2-s2.0-50549091105@@false[:/reference:]
2008,A survey of automated techniques for formal software verification,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,static analysis / verification,[:reference:]abstract@57@9@2-s2.0-45849085781@@false[:/reference:]
2010,WYSINWYX: What you see is not what you execute,ACM Transactions on Programming Languages and Systems,static analysis,[:reference:]abstract@69@10@2-s2.0-77955623537@@false[:/reference:]
2011,Iterative type inference with attribute grammars,ACM SIGPLAN Notices,type inference,[:reference:]abstract@41@11@2-s2.0-79951748723@@false[:/reference:]
2014,Cast insertion strategies for gradually-typed objects,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@43@12@2-s2.0-84894079183@@false[:/reference:]
2015,Monotonic references for efficient gradual typing,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),gradual typing,[:reference:]abstract@56@13@2-s2.0-84926624668@@false[:/reference:]
2015,Principal Type Schemes for Gradual Programs,ACM SIGPLAN Notices,gradual typing / type inference,[:reference:]abstract@38@14@2-s2.0-105035068550@@false[:/reference:]
2016,Abstracting Gradual Typing,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@44@15@2-s2.0-84965047936@@false[:/reference:]
2016,The Gradualizer: A methodology and algorithm for generating gradual type systems,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@37@16@2-s2.0-84965000036@@false[:/reference:]
2017,On polymorphic gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@36@17@2-s2.0-85045686307@@false[:/reference:]
2017,Big types in little runtime: Open-world soundness and collaborative blame for gradual type systems,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@3@18@2-s2.0-85051146441@@false[:/reference:]
2017,Automatically generating the dynamic semantics of gradually typed languages,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@55@19@2-s2.0-85119322610@@false[:/reference:]
2017,Sound gradual typing is nominally alive and well,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@61@20@2-s2.0-85120105476@@false[:/reference:]
2017,Gradual refinement types,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@46@21@2-s2.0-85119367665@@false[:/reference:]
2018,A spectrum of type soundness and performance,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@14@22@2-s2.0-85120128210@@false[:/reference:]
2018,Mining inline cache data to order inferred types in dynamic languages,Science of Computer Programming,type inference,[:reference:]abstract@54@23@2-s2.0-85034845249@@false[:/reference:]
2018,Preemptive type checking,Journal of Logical and Algebraic Methods in Programming,type checking,[:reference:]full_text@63@24@S2352220816300785@S2352220816300785-chunk-16@false[:/reference:]
2019,How to evaluate the performance of gradual type systems,Journal of Functional Programming,gradual typing,[:reference:]abstract@59@25@2-s2.0-85061983103@@false[:/reference:]
2019,Rule-based program specialization to optimize gradually typed code,Knowledge-Based Systems,gradual typing / type checking,[:reference:]full_text@33@26@S0950705119302199@S0950705119302199-chunk-113@false[:/reference:]
2020,Abstracting gradual references,Science of Computer Programming,gradual typing,[:reference:]abstract@34@27@2-s2.0-85086633882@@false[:/reference:]
2020,Taming type annotations in gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@6@28@2-s2.0-105009691924@@false[:/reference:]
2020,Gradual Typing Using Union Typing With Records,Electronic Notes in Theoretical Computer Science,gradual typing,[:reference:]abstract@70@29@2-s2.0-85114431496@@false[:/reference:]
2021,Abstracting Gradual Typing moving forward: Precise and space-efficient,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@35@30@2-s2.0-85099071630@@false[:/reference:]
2021,Transitioning from structural to nominal code with efficient gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@45@31@2-s2.0-85117597571@@false[:/reference:]
2021,Blame and coercion: Together again for the first time,Journal of Functional Programming,gradual typing,[:reference:]abstract@52@32@2-s2.0-85117442840@@false[:/reference:]
2021,Type-Based Gradual Typing Performance Optimization,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@60@33@2-s2.0-85183076269@@false[:/reference:]
2022,Gradual System F,Journal of the ACM,gradual typing,[:reference:]abstract@39@34@2-s2.0-105014727459@@false[:/reference:]
2022,A gradual type system for Elixir,Journal of Computer Languages,gradual typing,[:reference:]abstract@53@35@2-s2.0-85119912249@@false[:/reference:]
2022,Quantifying the interpretation overhead of Python,Science of Computer Programming,Python static analysis,[:reference:]full_text@71@36@S0167642321001520@S0167642321001520-chunk-68@false[:/reference:]
2023,Pattern-based circular reference detection in Python,Science of Computer Programming,Python static analysis / type inference,[:reference:]full_text@40@37@S016764232300014X@S016764232300014X-chunk-83@false[:/reference:]
2023,Learning to Predict User-Defined Types,IEEE Transactions on Software Engineering,type inference,[:reference:]abstract@72@38@2-s2.0-85131718430@@false[:/reference:]
2023,Detecting and Explaining Python Name Errors,Information and Software Technology,Python static analysis,[:reference:]full_text@49@39@S0950584924001976@S0950584924001976-chunk-4@false[:/reference:]
2024,QuAC: Quick Attribute-Centric Type Inference for Python,Proceedings of the ACM on Programming Languages,type inference,[:reference:]abstract@10@40@2-s2.0-105046988882@@false[:/reference:]
2024,Generating Python Type Annotations from Type Inference: How Far Are We?,ACM Transactions on Software Engineering and Methodology,type inference,[:reference:]abstract@58@41@2-s2.0-85195633748@@false[:/reference:]
2024,Static Blame for gradual typing,Journal of Functional Programming,gradual typing,[:reference:]abstract@50@42@2-s2.0-85188733508@@false[:/reference:]
2025,Towards a type-based abstract semantics for Python,Journal of Logical and Algebraic Methods in Programming,Python static analysis / type inference,[:reference:]full_text@32@43@S2352220824000865@S2352220824000865-chunk-14@false[:/reference:]
2025,DeVAIC: A tool for security assessment of AI-generated code,Information and Software Technology,static analysis,[:reference:]full_text@74@44@S0950584924001770@S0950584924001770-chunk-89@false[:/reference:]
2025,Static analysis by abstract interpretation against data leakage in machine learning,Science of Computer Programming,static analysis,[:reference:]full_text@75@45@S0167642325000772@S0167642325000772-chunk-60@false[:/reference:]
2025,Efficient Selection of Type Annotations for Performance Improvement in Gradual Typing,Art, Science, and Engineering of Programming,gradual typing,[:reference:]abstract@11@46@2-s2.0-105032681882@@false[:/reference:]
2026,Pythonic existential types,Journal of Logical and Algebraic Methods in Programming,Python typing / static type checking,[:reference:]full_text@76@47@S2352220826000453@S2352220826000453-chunk-102@false[:/reference:]
2026,Exception handling bugs in Python: An empirical study of root causes, fix patterns, and anti-patterns,Information and Software Technology,Python static analysis / type errors,[:reference:]full_text@78@48@S0950584926002533@S0950584926002533-chunk-113@false[:/reference:]
2026,Assessing Python’s suitability for airborne safety-critical systems under DO-178C guidelines,Journal of Computer Languages,Python static analysis,[:reference:]full_text@79@49@S2590118425000693@S2590118425000693-chunk-35@false[:/reference:]
2004,"Safer language subsets: An overview and a case history, MISRA C",Information and Software Technology,safer language subsets,"Directly about safer language subsets and MISRA C; explains rationale, specification, implementation, and enforcement [:reference:]abstract@85@1@2-s2.0-1642309241@@false[:/reference:] [:reference:]full_text@87@1@S0950584903002076@S0950584903002076-chunk-43@false[:/reference:]"
2005,Issues in the application of software safety standards,Conferences in Research and Practice in Information Technology Series,software safety standards,Discusses practical issues and limitations in applying safety standards to safety-critical software [:reference:]abstract@88@2@2-s2.0-84873296020@@false[:/reference:]
2005,Structured assurance cases: Three common standards,Proceedings of IEEE International Symposium on High Assurance Systems Engineering,assurance cases / standards,"Shows how assurance-case structuring applies to safety-, mission-, and security-critical systems [:reference:]abstract@89@3@2-s2.0-33846988559@@false[:/reference:]"
2006,Ada 2005: A language for high-integrity applications,CrossTalk,high-integrity language,Presents Ada 2005 as supporting high-integrity and safety certification needs [:reference:]abstract@90@4@2-s2.0-33747111034@@false[:/reference:]
2007,"A UML profile for developing airworthiness-compliant (RTCA DO-178B), safety-critical software",Lecture Notes in Computer Science,UML profile / certification,Defines SafeUML to support airworthiness-compliant safety-critical software development and certification [:reference:]abstract@91@5@2-s2.0-38049082909@@false[:/reference:]
2007,Languages for safety-critical software: Issues and assessment,Proceedings - International Conference on Software Engineering,restricted subsets / language choice,"Reviews Ada, C/C++, Java, MISRA C, SPARK, and Java safety profile issues for certification [:reference:]abstract@92@6@2-s2.0-34548799157@@false[:/reference:]"
2007,Production code generation for safety-critical systems,SAE Technical Papers,safety-critical development,"Covers language subsets, V&V, traceability, and code generation for high-integrity software [:reference:]abstract@93@7@2-s2.0-85072439006@@false[:/reference:]"
2007,Safety-critical software development using automatic production code generation,SAE Technical Papers,certifiable code generation,Discusses production code generation under IEC 61508-style constraints and required verification evidence [:reference:]abstract@94@8@2-s2.0-85087584101@@false[:/reference:]
2008,How to select a programming language subset to maximise software quality,Improvements in System Safety - Proceedings of the 16th Safety-Critical Systems Symposium,language subset selection,Proposes a methodology for constructing a language subset for safety/mission-critical systems [:reference:]abstract@83@9@2-s2.0-84883024728@@false[:/reference:]
2008,The use and implementation of coding standards for high-confidence embedded systems,IEEE Aerospace Conference Proceedings,coding standards,"Surveys large rule sets, enforcement issues, and adoption guidance for safety-critical embedded systems [:reference:]abstract@95@10@2-s2.0-49349091082@@false[:/reference:]"
2008,Restricting IEC 61131-3 programming languages for use on high integrity applications,IEEE International Conference on Emerging Technologies and Factory Automation,restricted subset,Proposes a restricted subset of IEC 61131-3 languages for high-integrity applications [:reference:]abstract@96@11@2-s2.0-56349109497@@false[:/reference:]
2008,Assessing the value of coding standards: An empirical study,"IEEE International Conference on Software Maintenance, ICSM",coding standards effectiveness,Empirically studies the relation between coding rules and faults using MISRA C [:reference:]abstract@97@12@2-s2.0-57849089183@@false[:/reference:]
2008,VHDL guidance for safe and certifiable FPGA design,IET Conference Publications,coding guidance / certifiable design,"Proposes a VHDL subset and guidance for safe, certifiable FPGA design [:reference:]abstract@98@13@2-s2.0-79851485246@@false[:/reference:]"
2009,Evaluating the relation between coding standard violations and faults within and across software versions,Proceedings of the 2009 6th IEEE International Working Conference on Mining Software Repositories,coding standards / faults,Finds several MISRA C rules significantly predict fault locations [:reference:]abstract@99@14@2-s2.0-70349935045@@false[:/reference:]
2009,Certification of software for real-time safety-critical systems: State of the art,Innovations in Systems and Software Engineering,certification,"Reviews certification activities, tools, and language-related issues in safety-critical systems [:reference:]abstract@86@15@2-s2.0-67649637649@@false[:/reference:]"
2009,Open-DO: An open-source initiative for the development of safety-critical software,IET Conference Publications,certification tooling,Targets automation and incremental certification for safety-critical software [:reference:]abstract@100@16@2-s2.0-77955972770@@false[:/reference:]
2010,Checking compliance to coding standards for x86 executables,"Proceedings - Symposia and Workshops on Ubiquitous, Autonomic and Trusted Computing",coding standards compliance,Shows static binary analysis can check some MISRA-C 2004 rules even without source code [:reference:]abstract@101@17@2-s2.0-78651448398@@false[:/reference:]
2010,Safety-critical software development using automatic production code generation,SAE Technical Papers,production code generation,Links automation with verification evidence and certification constraints [:reference:]abstract@94@18@2-s2.0-85087584101@@false[:/reference:]
2011,Modeling safety and airworthiness (RTCA DO-178B) information: Conceptual model and UML profile,Software and Systems Modeling,UML profile / airworthiness,Introduces SafeUML to model safety and certification information for aerospace software [:reference:]abstract@102@19@2-s2.0-79959761314@@false[:/reference:]
2011,A model-driven engineering approach to support the verification of compliance to safety standards,Proceedings - International Symposium on Software Reliability Engineering,model-driven compliance,Uses UML profiles and MDE to verify compliance to safety standards [:reference:]abstract@103@20@2-s2.0-84856874984@@false[:/reference:]
2011,Using UML profiles for sector-specific tailoring of safety evidence information,Lecture Notes in Computer Science,UML profile / safety evidence,Shows how UML profiles can specialize generic standards for sector-specific evidence requirements [:reference:]abstract@104@21@2-s2.0-80455129402@@false[:/reference:]
2012,A SysML-based approach to traceability management and design slicing in support of safety certification,article,traceability / certification,"Targets certification evidence, traceability, and design slicing for safety-critical software [:reference:]full_text@105@22@S095058491200016X@S095058491200016X-chunk-1@false[:/reference:]"
2013,"Supporting the verification of compliance to safety standards via model-driven engineering: Approach, tool-support and empirical validation",Information and Software Technology,verification of compliance,Provides tool-supported MDE for creating certification evidence and validates it in industry [:reference:]abstract@84@23@2-s2.0-84875217107@@false[:/reference:]
